iter	Passed	Remaining
199	2040	8163
200	2059	8185
201	2091	8260
202	2123	8337
203	2148	8383
204	2169	8415
205	2180	8404
206	2193	8403
207	2206	8400
208	2216	8388
209	2226	8374
210	2236	8362
211	2246	8351
212	2256	8338
213	2266	8325
214	2279	8323
215	2294	8327
216	2306	8322
217	2319	8318
218	2330	8309
219	2341	8302
220	2352	8292
221	2362	8277
222	2371	8262
223	2380	8247
224	2390	8234
225	2400	8221
226	2410	8208
227	2419	8193
228	2429	8178
229	2438	8164
230	2445	8141
231	2454	8125
232	2463	8109
233	2472	8094
234	2484	8086
235	2492	8069
236	2501	8053
237	2510	8036
238	2519	8022
239	2528	8006
240	2537	7991
241	2547	7978
242	2560	7975
243	2569	7960
244	2578	7945
245	2588	7932
246	2598	7922
247	2607	7906
248	2616	7892
249	2625	7877
250	2636	7867
251	2646	7855
252	2655	7839
253	2663	7823
254	2673	7810
255	2681	7794
256	2690	7778
257	2698	7761
258	2707	7745
259	2715	7729
260	2724	7714
261	2732	7697
262	2741	7682
263	2749	7665
264	2757	7648
265	2766	7633
266	2775	7619
267	2784	7604
268	2792	7588
269	2801	7574
270	2809	7558
271	2814	7531
272	2822	7516
273	2830	7500
274	2839	7486
275	2848	7471
276	2856	7455
277	2865	7441
278	2878	7437
279	2890	7432
280	2900	7421
281	2909	7407
282	2917	7392
283	2925	7376
284	2934	7361
285	2942	7345
286	2951	7331
287	2959	7316
288	2968	7303
289	2976	7288
290	2985	7274
291	2994	7260
292	3002	7245
293	3011	7230
294	3019	7217
295	3028	7203
296	3037	7189
297	3045	7174
298	3054	7161
299	3062	7145
300	3070	7131
301	3079	7118
302	3088	7104
303	3096	7090
304	3104	7074
305	3113	7060
306	3121	7047
307	3132	7037
308	3140	7022
309	3148	7007
310	3157	6994
311	3165	6980
312	3174	6967
313	3182	6953
314	3191	6939
315	3199	6926
316	3209	6914
317	3217	6901
318	3226	6887
319	3235	6875
320	3245	6864
321	3253	6849
322	3261	6835
323	3270	6822
324	3278	6809
325	3286	6795
326	3295	6782
327	3304	6769
328	3313	6758
329	3323	6746
330	3333	6738
331	3343	6727
332	3352	6714
333	3361	6702
334	3370	6690
335	3379	6678
336	3387	6664
337	3396	6651
338	3404	6637
339	3413	6625
340	3421	6613
341	3430	6599
342	3439	6587
343	3448	6575
344	3456	6561
345	3464	6549
346	3473	6536
347	3481	6522
348	3489	6508
349	3497	6495
350	3505	6482
351	3514	6470
352	3524	6459
353	3532	6446
354	3540	6432
355	3548	6419
356	3557	6406
357	3565	6394
358	3574	6382
359	3582	6369
360	3591	6357
361	3596	6337
362	3605	6326
363	3614	6315
364	3627	6311
365	3636	6298
366	3644	6286
367	3653	6274
368	3661	6261
369	3670	6249
370	3678	6237
371	3687	6224
372	3695	6212
373	3703	6199
374	3712	6187
375	3720	6174
376	3729	6162
377	3737	6150
378	3746	6138
379	3754	6125
380	3763	6114
381	3771	6102
382	3780	6090
383	3789	6078
384	3797	6066
385	3806	6054
386	3814	6042
387	3824	6033
388	3833	6020
389	3841	6008
390	3849	5996
391	3858	5985
392	3867	5973
393	3877	5964
394	3886	5953
395	3896	5943
396	3906	5933
397	3916	5923
398	3925	5913
399	3934	5901
400	3942	5889
401	3951	5877
402	3960	5866
403	3968	5854
404	3977	5843
405	3986	5832
406	3994	5820
407	4003	5809
408	4012	5798
409	4021	5787
410	4030	5775
411	4038	5763
412	4046	5751
413	4055	5739
414	4063	5727
415	4071	5716
416	4079	5704
417	4088	5692
418	4096	5680
419	4104	5668
420	4113	5657
421	4122	5646
422	4130	5634
423	4139	5623
424	4147	5611
425	4156	5600
426	4161	5583
427	4169	5571
428	4177	5559
429	4185	5548
430	4194	5537
431	4202	5525
432	4209	5512
433	4218	5500
434	4227	5490
435	4235	5479
436	4244	5468
437	4253	5457
438	4262	5446
439	4270	5435
440	4279	5424
441	4288	5413
442	4297	5402
443	4305	5391
444	4310	5376
445	4319	5364
446	4327	5353
447	4335	5342
448	4344	5331
449	4352	5320
450	4361	5309
451	4369	5297
452	4378	5287
453	4387	5276
454	4397	5266
455	4405	5255
456	4413	5243
457	4422	5233
458	4430	5221
459	4438	5210
460	4446	5198
461	4455	5187
462	4463	5176
463	4471	5165
464	4480	5155
465	4489	5145
466	4498	5134
467	4507	5124
468	4517	5114
469	4526	5104
470	4535	5094
471	4544	5083
472	4552	5072
473	4561	5061
474	4569	5050
475	4573	5034
476	4582	5024
477	4590	5013
478	4599	5003
479	4608	4992
480	4620	4984
481	4628	4974
482	4637	4963
483	4646	4953
484	4654	4942
485	4664	4933
486	4674	4924
487	4683	4913
488	4691	4902
489	4700	4891
490	4708	4881
491	4717	4870
492	4724	4859
493	4733	4848
494	4742	4838
495	4750	4827
496	4758	4815
497	4766	4804
498	4774	4793
499	4782	4782
500	4791	4772
501	4799	4761
502	4807	4750
503	4815	4738
504	4819	4723
505	4828	4713
506	4837	4703
507	4846	4693
508	4855	4684
509	4864	4673
510	4873	4663
511	4881	4652
512	4890	4642
513	4899	4632
514	4907	4621
515	4916	4611
516	4925	4601
517	4933	4590
518	4943	4581
519	4951	4570
520	4960	4560
521	4969	4550
522	4977	4539
523	4986	4529
524	4994	4519
525	5003	4508
526	5012	4498
527	5021	4488
528	5029	4478
529	5037	4467
530	5046	4456
531	5054	4446
532	5058	4432
533	5067	4422
534	5075	4411
535	5083	4400
536	5091	4390
537	5101	4381
538	5110	4371
539	5119	4361
540	5127	4350
541	5135	4339
542	5144	4329
543	5152	4318
544	5161	4308
545	5169	4298
546	5172	4283
547	5176	4269
548	5184	4259
549	5193	4249
550	5202	4239
551	5211	4229
552	5220	4220
553	5229	4210
554	5238	4200
555	5247	4190
556	5255	4180
557	5263	4169
558	5271	4158
559	5280	4148
560	5288	4138
561	5292	4124
562	5300	4114
563	5308	4104
564	5317	4093
565	5326	4084
566	5335	4074
567	5344	4064
568	5352	4054
569	5361	4044
570	5369	4034
571	5377	4023
572	5385	4013
573	5394	4003
574	5402	3992
575	5411	3983
576	5420	3973
577	5428	3963
578	5437	3953
579	5445	3943
580	5454	3933
581	5462	3923
582	5470	3912
583	5478	3902
584	5487	3892
585	5496	3882
586	5504	3872
587	5509	3860
588	5517	3850
589	5526	3840
590	5534	3830
591	5542	3820
592	5551	3809
593	5559	3799
594	5567	3789
595	5576	3780
596	5585	3770
597	5595	3761
598	5604	3752
599	5613	3742
600	5622	3732
601	5631	3723
602	5640	3713
603	5649	3704
604	5658	3694
605	5667	3684
606	5675	3674
607	5684	3664
608	5692	3654
609	5701	3644
610	5709	3635
611	5718	3625
612	5726	3615
613	5735	3605
614	5745	3596
615	5753	3586
616	5761	3576
617	5769	3566
618	5777	3556
619	5786	3546
620	5795	3536
621	5803	3527
622	5808	3514
623	5816	3504
624	5828	3497
625	5838	3488
626	5847	3478
627	5856	3469
628	5866	3459
629	5875	3450
630	5884	3441
631	5892	3431
632	5901	3421
633	5910	3411
634	5919	3402
635	5927	3392
636	5935	3382
637	5944	3372
638	5952	3362
639	5961	3353
640	5969	3343
641	5973	3331
642	5982	3321
643	5990	3311
644	5999	3301
645	6007	3291
646	6015	3281
647	6023	3271
648	6030	3261
649	6039	3251
650	6047	3241
651	6056	3232
652	6064	3222
653	6073	3212
654	6081	3203
655	6090	3193
656	6099	3184
657	6107	3174
658	6116	3164
659	6124	3155
660	6133	3145
661	6137	3133
662	6146	3124
663	6153	3113
664	6161	3104
665	6170	3094
666	6178	3084
667	6187	3075
668	6195	3065
669	6203	3055
670	6212	3046
671	6221	3036
672	6225	3024
673	6234	3015
674	6244	3006
675	6252	2996
676	6260	2987
677	6269	2977
678	6273	2965
679	6281	2956
680	6290	2946
681	6298	2936
682	6307	2927
683	6316	2918
684	6324	2908
685	6334	2899
686	6342	2889
687	6351	2880
688	6360	2870
689	6368	2861
690	6377	2851
691	6386	2842
692	6394	2832
693	6403	2823
694	6412	2814
695	6420	2804
696	6429	2795
697	6438	2785
698	6447	2776
699	6455	2766
700	6464	2757
701	6472	2747
702	6480	2738
703	6489	2728
704	6498	2719
705	6506	2709
706	6514	2699
707	6523	2690
708	6532	2681
709	6540	2671
710	6549	2662
711	6558	2653
712	6567	2643
713	6576	2634
714	6587	2625
715	6595	2615
716	6603	2606
717	6611	2596
718	6619	2587
719	6627	2577
720	6636	2568
721	6644	2558
722	6652	2548
723	6661	2539
724	6669	2529
725	6677	2520
726	6687	2511
727	6695	2501
728	6703	2492
729	6712	2482
730	6720	2473
731	6729	2463
732	6738	2454
733	6746	2444
734	6756	2435
735	6765	2426
736	6776	2418
737	6785	2408
738	6794	2399
739	6804	2390
740	6814	2381
741	6820	2371
742	6827	2361
743	6837	2352
744	6847	2343
745	6858	2335
746	6868	2326
747	6878	2317
748	6886	2307
749	6895	2298
750	6904	2289
751	6913	2279
752	6921	2270
753	6929	2260
754	6938	2251
755	6946	2242
756	6955	2232
757	6963	2223
758	6971	2213
759	6980	2204
760	6988	2194
761	6996	2185
762	7004	2175
763	7012	2166
764	7020	2156
765	7028	2147
766	7037	2137
767	7046	2128
768	7053	2118
769	7062	2109
770	7070	2100
771	7079	2090
772	7088	2081
773	7096	2072
774	7105	2062
775	7113	2053
776	7122	2044
777	7131	2034
778	7140	2025
779	7149	2016
780	7158	2007
781	7162	1996
782	7172	1987
783	7181	1978
784	7190	1969
785	7199	1960
786	7207	1950
787	7216	1941
788	7224	1931
789	7233	1922
790	7241	1913
791	7251	1904
792	7262	1895
793	7274	1887
794	7284	1878
795	7294	1869
796	7304	1860
797	7314	1851
798	7325	1842
799	7335	1833
800	7349	1825
801	7358	1816
802	7368	1807
803	7378	1798
804	7390	1790
805	7403	1782
806	7442	1780
807	7466	1774
808	7484	1767
809	7503	1760
810	7526	1753
811	7544	1746
812	7559	1738
813	7577	1731
814	7597	1724
815	7613	1716
816	7626	1708
817	7641	1700
818	7658	1692
819	7675	1684
820	7692	1677
821	7710	1669
822	7723	1660
823	7736	1652
824	7753	1644
825	7768	1636
826	7780	1627
827	7790	1618
828	7802	1609
829	7811	1599
830	7847	1595
831	7868	1588
832	7893	1582
833	7917	1575
834	7932	1567
835	7942	1558
836	7953	1548
837	7965	1539
838	7982	1531
839	8000	1523
840	8009	1514
841	8019	1504
842	8034	1496
843	8051	1488
844	8061	1478
845	8074	1469
846	8086	1460
847	8096	1451
848	8106	1441
849	8115	1432
850	8124	1422
851	8133	1412
852	8143	1403
853	8154	1394
854	8167	1385
855	8179	1375
856	8189	1366
857	8200	1357
858	8211	1347
859	8221	1338
860	8230	1328
861	8239	1319
862	8248	1309
863	8260	1300
864	8269	1290
865	8277	1280
866	8286	1271
867	8294	1261
868	8303	1251
869	8312	1242
870	8322	1232
871	8332	1223
872	8345	1214
873	8348	1203
874	8358	1194
875	8367	1184
876	8377	1174
877	8387	1165
878	8397	1155
879	8408	1146
880	8417	1137
881	8426	1127
882	8436	1117
883	8445	1108
884	8455	1098
885	8464	1089
886	8473	1079
887	8483	1069
888	8492	1060
889	8500	1050
890	8509	1041
891	8518	1031
892	8526	1021
893	8535	1012
894	8544	1002
895	8553	992
896	8561	983
897	8570	973
898	8579	963
899	8588	954
900	8596	944
901	8604	934
902	8613	925
903	8621	915
904	8630	905
905	8638	896
906	8647	886
907	8656	877
908	8664	867
909	8673	857
910	8681	848
911	8690	838
912	8698	828
913	8707	819
914	8715	809
915	8724	800
916	8732	790
917	8741	780
918	8749	771
919	8758	761
920	8768	752
921	8777	742
922	8785	732
923	8794	723
924	8802	713
925	8811	704
926	8820	694
927	8828	684
928	8837	675
929	8846	665
930	8855	656
931	8864	646
932	8872	637
933	8881	627
934	8889	618
935	8898	608
936	8906	598
937	8915	589
938	8923	579
939	8932	570
940	8940	560
941	8949	551
942	8958	541
943	8966	531
944	8975	522
945	8984	512
946	8992	503
947	9001	493
948	9009	484
949	9018	474
950	9026	465
951	9035	455
952	9044	446
953	9053	436
954	9061	427
955	9071	417
956	9080	407
957	9088	398
958	9096	388
959	9104	379
960	9113	369
961	9121	360
962	9131	350
963	9139	341
964	9148	331
965	9156	322
966	9164	312
967	9173	303
968	9181	293
969	9189	284
970	9198	274
971	9207	265
972	9215	255
973	9224	246
974	9234	236
975	9242	227
976	9251	217
977	9261	208
978	9270	198
979	9278	189
980	9287	179
981	9295	170
982	9304	160
983	9313	151
984	9323	141
985	9333	132
986	9344	123
987	9353	113
988	9361	104
989	9370	94
990	9378	85
991	9387	75
992	9396	66
993	9404	56
994	9414	47
995	9423	37
996	9431	28
997	9440	18
998	9448	9
999	9456	0
