iter	MultiClass
0	1.378592726
1	1.214366658
2	1.068143461
3	0.9570297469
4	0.8620054992
5	0.7781347775
6	0.7095274491
7	0.6488099208
8	0.5971859215
9	0.5534978832
10	0.5086990034
11	0.47312079
12	0.4393580328
13	0.4085515029
14	0.3799762924
15	0.355126077
16	0.3329845907
17	0.309936402
18	0.29129432
19	0.2736477206
20	0.2569108574
21	0.2430231795
22	0.2286225573
23	0.2147321998
24	0.2025614742
25	0.1908203395
26	0.180298547
27	0.170827627
28	0.1614472269
29	0.1533291677
30	0.1451535256
31	0.1374485184
32	0.1306683319
33	0.1246354341
34	0.1188539788
35	0.1127504253
36	0.1077647789
37	0.1030116696
38	0.09830859954
39	0.09438291864
40	0.09017629181
41	0.08639680126
42	0.08282185291
43	0.07946180675
44	0.07633345442
45	0.07317548231
46	0.07037505085
47	0.0674291748
48	0.06476789831
49	0.0624609618
50	0.06029335186
51	0.05831512087
52	0.05603782439
53	0.05390132213
54	0.05218617743
55	0.05037575828
56	0.0487551218
57	0.04734544766
58	0.04619182643
59	0.04504574588
60	0.04358466434
61	0.04218012717
62	0.0406527196
63	0.03943887633
64	0.03853012682
65	0.03738537624
66	0.03633936238
67	0.03530560601
68	0.03427976167
69	0.03343837775
70	0.03270831014
71	0.03195386145
72	0.03111762836
73	0.03030771056
74	0.02952931671
75	0.02892189974
76	0.02824149375
77	0.02761446418
78	0.02691374716
79	0.02633698163
80	0.0257498075
81	0.02515479757
82	0.02461695487
83	0.0241509556
84	0.02362007086
85	0.02310854292
86	0.02271932465
87	0.02223860855
88	0.02184126219
89	0.02152141532
90	0.02121795393
91	0.02087127699
92	0.02053509991
93	0.02022508696
94	0.01987791181
95	0.0195936683
96	0.01927067048
97	0.01902178589
98	0.0187661162
99	0.01842908938
100	0.0181769439
101	0.01799425368
102	0.01778772502
103	0.01751122922
104	0.01725299465
105	0.01700988303
106	0.01685196456
107	0.0165301371
108	0.01624735645
109	0.01602514016
110	0.01578102452
111	0.01558935439
112	0.01545527072
113	0.01529322264
114	0.01509506715
115	0.01495762876
116	0.01482532168
117	0.01469492346
118	0.01453192341
119	0.01436632911
120	0.01426026407
121	0.01415667121
122	0.01406127174
123	0.01386946856
124	0.01371141363
125	0.01355934612
126	0.01339679122
127	0.01327814342
128	0.01310085691
129	0.01296943445
130	0.01284752669
131	0.01271558036
132	0.01260475071
133	0.01249221178
134	0.01239049749
135	0.01226763479
136	0.0121414781
137	0.01204110963
138	0.01193778625
139	0.01181088775
140	0.01172285616
141	0.01163710932
142	0.01154397663
143	0.01146229782
144	0.01135629411
145	0.01126102732
146	0.01114293451
147	0.01106811227
148	0.01100961542
149	0.01094561333
150	0.01084924392
151	0.01074583458
152	0.01068975404
153	0.01062664655
154	0.0105168165
155	0.01042987098
156	0.0103738435
157	0.01026562021
158	0.01021122558
159	0.01018179027
160	0.0100686179
161	0.00995831929
162	0.009871971524
163	0.009788016809
164	0.009727181628
165	0.009683293792
166	0.009628372603
167	0.009546159426
168	0.009483961443
169	0.009417276017
170	0.009359057418
171	0.009314104586
172	0.009289282891
173	0.009266287599
174	0.009191479898
175	0.009124945947
176	0.009065807012
177	0.009016785764
178	0.008968327474
179	0.00889374022
180	0.008835586471
181	0.008798477067
182	0.00874948968
183	0.008701365585
184	0.008659386564
185	0.008568050525
186	0.008516290113
187	0.008482919118
188	0.00842047404
189	0.008357456575
190	0.008321765856
191	0.008276289229
192	0.008225655289
193	0.00817307094
194	0.008118344464
195	0.008093550525
196	0.008060131165
197	0.00801652917
198	0.007967688645
199	0.007930718431
200	0.007898091096
201	0.007853377404
202	0.007809610907
203	0.007785494582
204	0.00771178604
205	0.007671856877
206	0.007639077093
207	0.007600558192
208	0.007563076946
209	0.007513086144
210	0.007482323227
211	0.007452368185
212	0.007423990702
213	0.007392880362
214	0.007349135735
215	0.007299298588
216	0.007257865524
217	0.007243387761
218	0.007207029494
219	0.007167240115
220	0.007132744441
221	0.00710332714
222	0.00706930467
223	0.007039031926
224	0.007006320378
225	0.006983763534
